r,1,2,3,4,5,6
2.095,1.85E+04,3.73E+04,3.54E+04,3.27E+04,3.79E+04,4.34E+04
2.09961111,1.86E+04,3.73E+04,3.54E+04,3.27E+04,3.78E+04,4.33E+04
2.10422222,1.87E+04,3.74E+04,3.53E+04,3.26E+04,3.77E+04,4.33E+04
2.10883333,1.88E+04,3.74E+04,3.53E+04,3.26E+04,3.76E+04,4.33E+04
2.11344444,1.89E+04,3.74E+04,3.52E+04,3.26E+04,3.75E+04,4.32E+04
2.11805556,1.90E+04,3.75E+04,3.52E+04,3.25E+04,3.74E+04,4.32E+04
2.12266667,1.92E+04,3.75E+04,3.51E+04,3.25E+04,3.74E+04,4.31E+04
2.12727778,1.93E+04,3.75E+04,3.51E+04,3.25E+04,3.73E+04,4.31E+04
2.13188889,1.94E+04,3.75E+04,3.50E+04,3.25E+04,3.72E+04,4.30E+04
2.1365,1.95E+04,3.76E+04,3.50E+04,3.24E+04,3.71E+04,4.30E+04
2.14111111,1.96E+04,3.76E+04,3.49E+04,3.24E+04,3.70E+04,4.30E+04
2.14572222,1.97E+04,3.76E+04,3.49E+04,3.24E+04,3.69E+04,4.29E+04
2.15033333,1.98E+04,3.77E+04,3.48E+04,3.24E+04,3.68E+04,4.29E+04
2.15494444,1.99E+04,3.77E+04,3.48E+04,3.23E+04,3.67E+04,4.28E+04
2.15955556,2.00E+04,3.77E+04,3.47E+04,3.23E+04,3.67E+04,4.28E+04
2.16416667,2.01E+04,3.77E+04,3.47E+04,3.23E+04,3.66E+04,4.28E+04
2.16877778,2.02E+04,3.78E+04,3.46E+04,3.23E+04,3.65E+04,4.27E+04
2.17338889,2.03E+04,3.78E+04,3.46E+04,3.22E+04,3.64E+04,4.27E+04
2.178,2.04E+04,3.78E+04,3.45E+04,3.22E+04,3.63E+04,4.27E+04
2.18261111,2.05E+04,3.79E+04,3.45E+04,3.22E+04,3.63E+04,4.26E+04
