r,1,2,3,4,5,
0.97368237,2.87E+04,1.57E+05,1.75E+05,1.78E+05,2.11E+05,
0.97409741,2.86E+04,1.57E+05,1.75E+05,1.78E+05,2.11E+05,
0.97451245,2.86E+04,1.57E+05,1.75E+05,1.78E+05,2.11E+05,
0.97492749,2.85E+04,1.57E+05,1.75E+05,1.78E+05,2.11E+05,
0.97534253,2.84E+04,1.57E+05,1.75E+05,1.77E+05,2.11E+05,
0.97575758,2.83E+04,1.57E+05,1.75E+05,1.77E+05,2.11E+05,
0.97617262,2.82E+04,1.57E+05,1.75E+05,1.77E+05,2.11E+05,
0.97658766,2.81E+04,1.57E+05,1.74E+05,1.77E+05,2.10E+05,
0.9770027,2.80E+04,1.57E+05,1.74E+05,1.77E+05,2.10E+05,
0.97741774,2.79E+04,1.57E+05,1.74E+05,1.77E+05,2.10E+05,
0.97783278,2.79E+04,1.57E+05,1.74E+05,1.77E+05,2.10E+05,
0.97824782,2.78E+04,1.56E+05,1.74E+05,1.77E+05,2.10E+05,
0.97866287,2.77E+04,1.56E+05,1.74E+05,1.77E+05,2.10E+05,
0.97907791,2.76E+04,1.56E+05,1.74E+05,1.77E+05,2.10E+05,
0.97949295,2.75E+04,1.56E+05,1.74E+05,1.77E+05,2.10E+05,
0.97990799,2.74E+04,1.56E+05,1.74E+05,1.76E+05,2.10E+05,
0.98032303,2.73E+04,1.56E+05,1.74E+05,1.76E+05,2.10E+05,
0.98073807,2.73E+04,1.56E+05,1.74E+05,1.76E+05,2.10E+05,
0.98115312,2.72E+04,1.56E+05,1.74E+05,1.76E+05,2.09E+05,
0.98156816,2.71E+04,1.56E+05,1.73E+05,1.76E+05,2.09E+05,
0.9819832,2.70E+04,1.56E+05,1.73E+05,1.76E+05,2.09E+05,
0.98239824,2.69E+04,1.56E+05,1.73E+05,1.76E+05,2.09E+05,
0.98281328,2.68E+04,1.55E+05,1.73E+05,1.76E+05,2.09E+05,
0.98322832,2.68E+04,1.55E+05,1.73E+05,1.76E+05,2.09E+05,
0.98364336,2.67E+04,1.55E+05,1.73E+05,1.76E+05,2.09E+05,
0.98405841,2.66E+04,1.55E+05,1.73E+05,1.76E+05,2.09E+05,
0.98447345,2.65E+04,1.55E+05,1.73E+05,1.76E+05,2.09E+05,
0.98488849,2.64E+04,1.55E+05,1.73E+05,1.75E+05,2.09E+05,
0.98530353,2.63E+04,1.55E+05,1.73E+05,1.75E+05,2.09E+05,
0.98571857,2.63E+04,1.55E+05,1.73E+05,1.75E+05,2.09E+05,
0.98613361,2.62E+04,1.55E+05,1.73E+05,1.75E+05,2.08E+05,
0.98654865,2.61E+04,1.55E+05,1.72E+05,1.75E+05,2.08E+05,
0.9869637,2.60E+04,1.55E+05,1.72E+05,1.75E+05,2.08E+05,
